variant,ODS,OIS,AP,best_thr,R,P
v1 |R|@ZC s1.4,0.5614315878783552,0.6109192679186047,0.3459412238248946,0.08,0.6668646945538929,0.48478566657498723
v2 gm@ZC s1.4,0.5724304992723821,0.6214691234374439,0.4722290260509577,0.32,0.6648919012718698,0.5025453792347828
v2 gm@ZC s2.8,0.5880984161632601,0.6269287825894306,0.599839439554341,0.16,0.6555083736534444,0.5332600097683147
v3 WLS s1.4,0.565275685814776,0.615829303146554,0.42421001145460613,0.37,0.671443834255422,0.48809802618896264
v4 hyst s1.4,0.5881265468882144,0.6141664336246889,0.3838462687918892,0.22,0.6861523385664414,0.5146080845106529
v4 hyst s2.8,0.5844317758192549,0.5934947527114341,0.4287928643812531,0.060000000000000005,0.5736275850805381,0.5956507699890019
v2+zcnms s2.8,0.5915610569673484,0.6303582070751932,0.6032273010773137,0.15000000000000002,0.6765544508639052,0.5255392275122286
